device_id,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,total_messages,max_frame_count
861275072310218,-13.646279069767441,5.753518129721417,-31.0,-9.74,172.0,16.0,21.259999999999998,28.11046511627907,5.230869440546107,16.0,39.0,0.0,23.0,3.4515116279069766,0.06354107097191865,3.22,3.53,0.0,7.22093023255814,3.0044846121386146,-3.0,-75.18604651162791,3.077979241052535,-86.0,-7.226744186046512,1.3248788463736374,-12.0,347,183
861275072310226,0.9739007092198582,0.02020512840293605,0.94,1.01,141.0,0.0,0.07000000000000006,26.865248226950353,7.389393806720576,15.0,45.0,0.0,30.0,3.463900709219858,0.08431042173882858,3.08,3.51,0.0,20.93617021276596,5.146722627011495,-3.0,-76.24113475177305,4.350534793431158,-97.0,-2.0,2.339108499285267,-11.0,288,159
861275072310242,-15.060884353741494,1.3551969604462784,-31.0,-14.55,147.0,1.0,16.45,19.38095238095238,5.170163789214605,11.0,33.0,0.0,22.0,3.1472789115646256,0.08240027449689327,2.96,3.37,0.0,-2.4489795918367347,3.103651568914348,-10.0,-90.51020408163265,1.7570497803614313,-97.0,-10.693877551020408,1.7225826615867939,-20.0,306,162
861275072310259,-15.843454545454545,0.025691775728184957,-15.89,-15.78,55.0,0.0,0.11000000000000121,19.09090909090909,5.157779910261159,13.0,35.0,0.0,22.0,3.3956363636363633,0.040586607733003786,3.3,3.53,0.0,21.145454545454545,1.819830901975377,10.0,-65.8,1.043498389499903,-69.0,-2.036363636363636,1.3188608491398701,-6.0,146,48
861275072310267,-9.979733333333334,0.036581189772751904,-10.05,-9.83,150.0,0.0,0.22000000000000064,23.753333333333334,6.875632165363275,13.0,43.0,0.0,30.0,3.1575333333333333,0.10250510981970495,2.94,3.57,0.0,12.613333333333333,1.7600589780640825,6.0,-87.43333333333334,1.4350205978769437,-92.0,-5.44,1.3183271889713903,-9.0,309,170
861275072310283,-8.016291390728478,4.445478994198343,-31.0,-6.14,151.0,5.0,24.86,25.655629139072847,8.864194911828067,10.0,48.0,0.0,38.0,3.356423841059603,0.15847752467720588,3.15,3.56,0.0,2.9403973509933774,5.545246358313843,-7.0,-95.01986754966887,8.755546964582326,-112.0,-9.754966887417218,3.549585679892266,-18.0,314,165
861275072310291,-15.00851063829787,1.3017652499423429,-15.69,-12.2,141.0,0.0,3.49,25.54609929078014,1.6796052993187136,22.0,32.0,0.0,10.0,3.069787234042553,0.04544176941201604,2.99,3.2,0.0,12.439716312056738,1.2327019934520216,8.0,-98.20567375886525,2.2184863903650878,-107.0,-5.319148936170213,0.6581266588493021,-8.0,294,160
861275072310366,-11.175614035087719,3.8153538581180966,-31.0,-10.24,57.0,2.0,20.759999999999998,20.280701754385966,5.86988192253142,11.0,33.0,0.0,22.0,3.242105263157895,0.1412411418474655,3.0,3.55,0.0,9.350877192982455,4.886173013391153,1.0,-84.28070175438596,0.8814433367436161,-87.0,-6.614035087719298,1.9063276772455935,-11.0,145,33
861275072310374,-11.023943661971831,0.03257196607097806,-11.1,-10.95,142.0,0.0,0.15000000000000036,28.570422535211268,6.207291396967316,18.0,44.0,0.0,26.0,3.3587323943661973,0.06331122221262292,3.13,3.49,0.0,4.119718309859155,1.4850670131556627,1.0,-87.47887323943662,0.778417287307718,-90.0,-6.577464788732394,0.8193055670667393,-9.0,296,160
861275072310382,-8.986266666666667,1.810537591812071,-31.0,-8.75,150.0,1.0,22.25,22.2,7.21854435120652,11.0,52.0,0.0,41.0,3.2539333333333333,0.12380378861756476,2.88,3.54,0.0,1.5133333333333334,3.333250558256359,-6.0,-78.46666666666667,2.005585042987018,-87.0,-9.98,1.8947826636007303,-17.0,315,153
861275072310390,-3.12486301369863,1.0885981091175492,-4.29,-1.05,146.0,0.0,3.24,25.513698630136986,6.302967337712767,14.0,38.0,0.0,24.0,3.4482876712328765,0.04167790432617989,3.3,3.52,0.0,8.76027397260274,2.516989977157439,0.0,-79.21917808219177,2.1447390346353816,-88.0,-6.2534246575342465,1.1067918462096156,-11.0,292,157
861275072310416,-31.0,0.0,-31.0,-31.0,148.0,148.0,0.0,17.675675675675677,5.370891837692641,9.0,33.0,0.0,24.0,3.4824324324324323,0.02961479731305519,3.42,3.54,0.0,11.371621621621621,2.4419252062662995,3.0,-62.13513513513514,1.3882335893577387,-67.0,-6.668918918918919,0.8197271282626357,-9.0,302,158
