device_id,total_messages,max_frame_count,days_since_last_message,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_range,optical_below_threshold,temp_mean,temp_std,temp_min,temp_max,temp_range,temp_above_threshold,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min
861275072434299,512,272,0,-31.0,0.0,-31.0,-31.0,256.0,0.0,256.0,25.171875,3.4404955753381734,15.0,33.0,18.0,0.0,3.455703125,0.0629058879223092,3.23,3.54,0.0,13.421875,3.635574502163903,5.0,-84.84765625,3.509683296001976,-100.0,-3.625,1.907672845713989,-10.0
861275072438605,310,149,0,-6.989530201342283,0.0400394327670926,-7.12,-6.93,149.0,0.1900000000000004,0.0,21.369127516778523,6.849096402513757,11.0,43.0,32.0,0.0,3.489194630872483,0.0289341465373101,3.42,3.57,0.0,20.02013422818792,1.5222218765083209,14.0,-59.20134228187919,1.537723245808608,-66.0,-1.7114093959731544,1.3115665381387152,-6.0
861275072462860,298,160,0,-14.05554794520548,2.3821135300608987,-31.0,-11.05,146.0,19.95,2.0,23.568493150684933,1.643828727744974,20.0,31.0,11.0,0.0,3.0986301369863014,0.0331897395234776,3.04,3.18,0.0,13.006849315068491,4.2304260408949705,1.0,-102.86986301369863,4.405738731950479,-112.0,-5.335616438356165,1.7391135167894145,-9.0
861275072462886,302,158,0,-31.0,0.0,-31.0,-31.0,148.0,0.0,148.0,19.24324324324324,1.4874606111362825,18.0,23.0,5.0,0.0,3.042635135135136,0.0202488426304507,3.0,3.08,0.0,16.0,2.338672220534986,8.0,-95.9054054054054,2.5134680430106746,-102.0,-5.6824324324324325,1.7419871449269198,-11.0
861275072462944,303,159,0,-31.0,0.0,-31.0,-31.0,147.0,0.0,147.0,33.12925170068027,6.474684219140168,21.0,47.0,26.0,0.0,3.542993197278911,0.0472303444075741,3.29,3.59,0.0,15.272108843537415,7.191659765301245,-1.0,-60.85714285714285,8.753081649120174,-87.0,-6.319727891156463,2.1389614512265505,-13.0
861275072464148,286,156,0,-31.0,0.0,-31.0,-31.0,143.0,0.0,143.0,25.44055944055944,4.419263812284655,15.0,37.0,22.0,0.0,3.212097902097902,0.0949711086301567,2.95,3.4,0.0,9.160839160839162,4.837719095959725,-3.0,-88.6923076923077,2.66492810787678,-96.0,-7.223776223776224,1.8286436920265408,-13.0
861275072465384,308,148,0,-6.286891891891893,0.0335405400220063,-6.35,-6.21,148.0,0.1399999999999996,0.0,19.8445945945946,6.210275485293377,9.0,38.0,29.0,0.0,3.081621621621621,0.0858019714507507,2.87,3.55,0.0,3.702702702702703,2.655912309683312,-6.0,-90.77702702702705,2.767205781288997,-99.0,-9.04054054054054,1.8364353906205129,-16.0
861275072465400,305,159,0,1.2847682119205297,2.644812491006268,-31.0,1.5,151.0,32.5,1.0,29.8476821192053,8.333665335549826,16.0,49.0,33.0,0.0,3.133046357615894,0.0257421412598989,3.05,3.18,0.0,9.059602649006624,2.075995465889301,3.0,-85.03973509933775,1.2483631667213233,-88.0,-7.006622516556291,1.3928229786622646,-11.0
861275072465475,210,89,0,-24.582564102564103,0.319624113232362,-25.1,-23.77,78.0,1.3300000000000018,0.0,19.71794871794872,6.969129398193477,9.0,43.0,34.0,0.0,3.067820512820513,0.0852444527028983,2.91,3.55,0.0,10.666666666666666,2.561790499391112,2.0,-118.4102564102564,2.414436544932144,-126.0,-6.153846153846154,1.1960641414946909,-11.0
861275072465574,306,158,0,-18.5456,1.873247003352859,-31.0,-17.53,150.0,13.47,3.0,17.613333333333333,5.606547785943027,9.0,34.0,25.0,0.0,3.1486,0.0476146444113163,3.02,3.26,0.0,1.2933333333333332,2.534451654728613,-7.0,-89.23333333333333,1.5775976412486734,-95.0,-9.506666666666666,1.3890591991031105,-16.0
861275072465590,319,167,0,-24.120193548387096,1.8414027935272743,-31.0,-22.94,155.0,8.059999999999999,10.0,19.89032258064516,5.735023117216379,11.0,34.0,23.0,0.0,3.23141935483871,0.16661425513013,2.93,3.51,0.0,6.109677419354838,2.14889806232846,-8.0,-84.58709677419355,1.7902589842907346,-95.0,-7.335483870967742,1.305718786746534,-18.0
861275072465632,199,92,0,-14.593658536585366,0.080791030475168,-14.81,-14.46,82.0,0.3499999999999996,0.0,22.817073170731707,4.794873931530558,15.0,37.0,22.0,0.0,3.120609756097561,0.0813064248289044,2.99,3.36,0.0,2.9878048780487805,4.972750195281004,-3.0,-83.2439024390244,1.959849928808511,-88.0,-7.109756097560975,1.440216869480149,-10.0
861275072465673,300,158,0,1.4956462585034014,0.0104729283897106,1.45,1.5,147.0,0.05,0.0,26.068027210884352,7.109380128216079,14.0,43.0,29.0,0.0,3.161496598639456,0.0222487106443903,3.11,3.2,0.0,1.870748299319728,2.7154356063260363,-8.0,-87.21768707482993,2.2006132607354965,-104.0,-10.10204081632653,2.033064674555474,-18.0
861275072465699,293,161,0,-26.115655172413792,1.6589604399681448,-31.0,-23.14,145.0,7.859999999999999,6.0,18.09655172413793,0.4137252498645435,18.0,20.0,2.0,0.0,3.453586206896552,0.0631870664296474,3.19,3.5,0.0,21.52413793103448,2.690215704436816,-7.0,-78.53103448275863,4.355799410641765,-115.0,-1.5862068965517242,1.730390959743843,-16.0
861275072465830,614,320,0,-23.130207612456747,3.4746878294751813,-31.0,-19.36,289.0,11.64,39.0,28.34948096885813,7.426422053811509,15.0,40.0,25.0,0.0,3.0763667820069203,0.0634725750353837,2.93,3.23,0.0,-0.3079584775086505,4.936257472174971,-11.0,-94.280276816609,2.4652428167076583,-101.0,-11.124567474048442,2.782332386719528,-29.0
861275072465855,310,147,0,-7.700738255033557,0.0312810701701301,-7.8,-7.63,149.0,0.1699999999999999,0.0,19.25503355704698,5.974217536028064,9.0,37.0,28.0,0.0,3.4155033557046983,0.0579426118883758,3.11,3.57,0.0,21.174496644295303,2.7674057117270454,0.0,-71.35570469798658,4.062142001695318,-104.0,-3.557046979865772,1.6537531039605222,-10.0
861275072511591,306,160,0,-3.3458,2.274775383852188,-31.0,-3.04,150.0,27.96,1.0,20.78,7.338297079489603,11.0,43.0,32.0,0.0,3.493333333333333,0.025611099383531,3.43,3.54,0.0,19.946666666666665,1.7058394247925963,13.0,-62.02666666666666,1.4698156149104065,-69.0,-2.3666666666666667,1.4019002763347586,-7.0
861275072511757,317,150,0,-6.428013245033113,2.0144610593961345,-31.0,-6.15,151.0,24.85,1.0,22.688741721854303,6.8499979858523306,9.0,37.0,28.0,0.0,3.210132450331126,0.0931664228139936,3.0,3.58,0.0,8.900662251655628,2.8065517796456616,0.0,-86.16556291390728,2.240328736521074,-94.0,-6.76158940397351,1.4315893697636586,-11.0
861275072512292,305,165,0,-9.318851351351352,0.0223613992190155,-9.37,-9.25,148.0,0.1199999999999992,0.0,25.72972972972973,4.305659295308138,18.0,39.0,21.0,0.0,3.416283783783784,0.0803079142786664,3.15,3.54,0.0,17.62162162162162,2.4973602537095525,9.0,-81.80405405405405,1.9118633706619028,-88.0,-2.527027027027027,1.6514102237650483,-8.0
861275072512300,282,156,0,-12.0,0.5773634656163926,-13.09,-11.0,141.0,2.09,0.0,26.113475177304963,5.237355110278959,18.0,40.0,22.0,0.0,3.1866666666666665,0.113695499764356,2.93,3.47,0.0,4.98581560283688,2.5717859708849264,-3.0,-89.82978723404256,2.6805048746418487,-95.0,-8.47517730496454,1.8149441561014965,-13.0
861275072512318,299,160,0,1.5,0.0,1.5,1.5,145.0,0.0,0.0,21.379310344827587,4.224710650047926,13.0,31.0,18.0,0.0,3.1441379310344826,0.0430694885378489,3.06,3.24,0.0,3.1448275862068966,2.823461504235605,-8.0,-94.64827586206896,2.7144956419265656,-115.0,-9.648275862068964,2.025980676400795,-18.0
861275072512326,300,164,0,-4.786666666666666,4.936168212389503,-31.0,-3.67,147.0,27.33,5.0,28.448979591836736,2.910029123493554,22.0,37.0,15.0,0.0,3.392857142857143,0.1006553865886722,3.0,3.5,0.0,6.197278911564626,5.5979931039202375,-3.0,-71.37414965986395,2.3355820733350705,-78.0,-7.326530612244898,1.880553930730315,-12.0
861275072512334,300,156,0,-12.140266666666667,1.78196292742592,-15.22,-9.36,150.0,5.860000000000001,0.0,19.566666666666663,7.048648465497242,9.0,42.0,33.0,0.0,3.2538666666666667,0.0901213698161491,2.87,3.4,0.0,21.08,2.948142402286748,5.0,-77.54,0.8324783085631645,-80.0,-4.18,1.4145457211824002,-8.0
861275072512342,305,182,0,-5.780846153846154,0.0751848844220536,-5.96,-5.56,130.0,0.4000000000000003,0.0,27.21538461538461,8.615817988929788,14.0,44.0,30.0,0.0,3.007692307692308,0.0952071463471283,2.85,3.32,0.0,-3.5538461538461537,1.752347433169428,-10.0,-85.1923076923077,1.3064903803296324,-88.0,-13.176923076923076,1.4598788556269795,-17.0
861275072512359,309,161,0,-16.81764705882353,3.663130449547555,-31.0,-13.38,153.0,17.619999999999997,6.0,27.71895424836601,2.893862644368589,23.0,35.0,12.0,0.0,3.3286928104575164,0.1757790659144601,3.08,3.51,0.0,10.954248366013072,8.333777077968723,-9.0,-81.54901960784314,15.389650134728525,-110.0,-6.372549019607843,3.795569357715128,-20.0
861275072512375,311,163,0,-16.844238410596027,2.894260397657425,-31.0,-15.95,151.0,15.05,6.0,19.337748344370866,6.523687522885141,10.0,41.0,31.0,0.0,3.261258278145695,0.1121802397083171,2.91,3.43,0.0,5.19205298013245,2.193065531132406,-5.0,-87.39735099337749,1.5014635979544528,-93.0,-6.079470198675497,0.844773569725024,-10.0
861275072512383,304,158,0,-7.01203947368421,2.360439216850277,-31.0,-6.67,152.0,24.33,1.0,23.26315789473684,7.044547788028559,13.0,44.0,31.0,0.0,3.4644736842105264,0.0585112144533018,3.2,3.53,0.0,20.57236842105263,4.314770525133299,0.0,-60.88815789473684,4.437273403755099,-86.0,-2.9802631578947367,1.617251346279936,-10.0
861275072512391,310,182,0,-7.846577181208055,0.0633711910426407,-8.0,-7.7,149.0,0.2999999999999998,0.0,20.684563758389263,6.029305961943855,11.0,37.0,26.0,0.0,3.5174496644295306,0.0353582889554856,3.33,3.56,0.0,22.758389261744966,1.136917398835906,15.0,-49.852348993288594,2.074217009308587,-56.0,-1.2348993288590604,1.0487396666692326,-5.0
861275072512409,325,158,0,-7.219161290322581,3.361267532028424,-31.0,-6.52,155.0,24.48,3.0,21.50967741935484,6.6472997563755305,10.0,38.0,28.0,0.0,3.504,0.0940475149322675,3.17,3.59,0.0,22.651612903225807,2.9664652724782474,-3.0,-46.61290322580645,6.024179738067912,-99.0,-0.8774193548387097,1.345195799348183,-12.0
861275072512417,1885,1002,0,-30.966877682403435,0.4017085076106585,-31.0,-24.99,932.0,6.010000000000002,926.0,27.68991416309013,3.4331712867149187,16.0,37.0,21.0,0.0,3.188390557939914,0.0544870212564665,3.04,3.38,0.0,9.933476394849786,1.3520384961377143,4.0,-91.4527896995708,0.8463751905892453,-95.0,-5.786480686695279,0.7977611372239397,-10.0
861275072512425,1823,901,0,-10.44970132743363,1.8247554545295777,-31.0,-10.11,904.0,20.89,7.0,20.4070796460177,6.21221198367245,11.0,43.0,32.0,0.0,3.152986725663717,0.0740157703759807,2.96,3.55,0.0,5.923672566371682,1.6915310537309207,-2.0,-91.61283185840708,1.4073415913929073,-100.0,-7.170353982300885,0.8890657848527643,-12.0
